title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Beauty and the Beast",movie,"Drama, Fantasy, Romance",1946,tt0038348,7.9,28561,GB
"Belle de Jour",movie,"Drama, Romance",1967,tt0061395,7.6,50153,"DE, GB"
"Nosferatu: A Symphony of Horror",movie,"Fantasy, Horror",1922,tt0013442,7.8,108866,GB
"Paris, Texas",movie,Drama,1984,tt0087884,8.1,125280,GB
"The Marriage of Maria Braun",movie,Drama,1979,tt0079095,7.7,15264,"DE, GB"
"Saw IV",movie,"Horror, Mystery, Thriller",2007,tt0890870,5.9,168363,"BR, CO, IN, MX"
Oldboy,movie,"Action, Drama, Mystery",2003,tt0364569,8.3,654933,"AU, DE, GB, IT"
"Pulp Fiction",movie,"Crime, Drama",1994,tt0110912,8.9,2272131,"AT, CH, DE, FR, GB, IE, IT, US"
"Dead Man Walking",movie,"Crime, Drama",1995,tt0112818,7.5,103120,"BR, CL, CO, MX"
Pickpocket,movie,"Crime, Drama",1959,tt0053168,7.6,25936,GB
"Meet the Fockers",movie,"Comedy, Romance",2004,tt0290002,6.3,291188,"AT, AU, CH, DE, FR, GB, IE, IT"
"Effi Briest",movie,"Drama, History",1974,tt0071458,6.9,2792,DE
"The Piano",movie,"Drama, Music, Romance",1993,tt0107822,7.5,96707,"DE, GB"
Together,movie,"Comedy, Drama, Romance",2000,tt0203166,7.4,24658,GB
"Top Gun",movie,"Action, Drama",1986,tt0092099,6.9,514902,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
"Shaun of the Dead",movie,"Comedy, Horror",2004,tt0365748,7.9,607780,"AU, US"
Face/Off,movie,"Action, Crime, Sci-Fi",1997,tt0119094,7.3,408047,"CA, US"
"From Dusk Till Dawn",movie,"Action, Crime, Horror",1996,tt0116367,7.2,347900,"AT, CH, DE, FR, GB, IE, IT"
"The Evil Dead",movie,Horror,1981,tt0083907,7.4,238572,US
"Evil Dead II",movie,"Comedy, Horror",1987,tt0092991,7.7,186511,"AT, BR, CH, CL, CO, GB, MX"
Goodfellas,movie,"Biography, Crime, Drama",1990,tt0099685,8.7,1287853,US
"A Trip to the Moon",movie,"Action, Adventure, Comedy",1902,tt0000417,8.1,57190,DE
"The Rules of the Game",movie,"Comedy, Drama",1939,tt0031885,7.9,31850,GB
"The Grand Illusion",movie,"Drama, War",1937,tt0028950,8.1,39512,DE
"Monsieur Hulot's Holiday",movie,Comedy,1953,tt0046487,7.3,20638,DE
Vampyr,movie,"Fantasy, Horror",1932,tt0023649,7.4,21130,GB
"The Passion of Joan of Arc",movie,"Biography, Drama, History",1928,tt0019254,8.1,62388,"DE, GB"
Gandhi,movie,"Biography, Drama, History",1982,tt0083987,8,241875,AU
"The Fog",movie,"Horror, Thriller",1980,tt0080749,6.8,85549,GB
Platoon,movie,"Drama, War",1986,tt0091763,8.1,446983,"BR, CL, CO, MX"
Persona,movie,"Drama, Thriller",1966,tt0060827,8,133424,"DE, GB"
"Annaluise & Anton",movie,"Comedy, Drama, Family",1999,tt0161935,7,1078,DE
"Roman Holiday",movie,"Comedy, Drama, Romance",1953,tt0046250,8,149990,"AT, CH, DE, FR, GB, IE, IT"
"Rosemary's Baby",movie,"Drama, Horror",1968,tt0063522,8,243120,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
Shrek,movie,"Adventure, Animation, Comedy",2001,tt0126029,7.9,752816,AU
"Shrek 2",movie,"Adventure, Animation, Comedy",2004,tt0298148,7.3,516909,AU
"Shrek the Third",movie,"Adventure, Animation, Comedy",2007,tt0413267,6.1,339272,AU
